排名,国家/地区,GDP总量(人民币核算),所属洲,年份
排名第107,贝宁,￥25.2413亿元,非洲国家,1980
排名第108,海地,￥23.15908亿元,美洲国家,1980
排名第109,卢旺达,￥18.85982亿元,非洲国家,1980
排名第110,斐济,￥18.44038亿元,大洋州国家,1980
排名第111,苏里南,￥17.85616亿元,美洲国家,1980
排名第112,博茨瓦纳,￥17.6015亿元,非洲国家,1980
排名第113,毛里求斯,￥17.57154亿元,非洲国家,1980
排名第114,斯威士兰,￥17.10716亿元,非洲国家,1980
排名第115,多哥,￥15.66908亿元,非洲国家,1980
排名第116,巴巴多斯,￥15.24964亿元,美洲国家,1980
排名第117,布隆迪,￥14.24598亿元,非洲国家,1980
排名第118,乍得,￥11.05524亿元,非洲国家,1980
排名第119,中非,￥10.69572亿元,非洲国家,1980
排名第120,圭亚那,￥8.37382亿元,美洲国家,1980
排名第121,莱索托,￥7.1904亿元,非洲国家,1980
排名第122,冈比亚,￥5.45272亿元,,1980
排名第123,所罗门群岛,￥2.65146亿元,大洋州国家,1980
排名第124,伯利兹,￥2.57656亿元,美洲国家,1980
排名第125,几内亚比绍,￥2.56158亿元,非洲国家,1980
排名第126,佛得角,￥2.35186亿元,非洲国家,1980
排名第127,科摩罗,￥2.27696亿元,非洲国家,1980
排名第128,圣卢西亚,￥2.23202亿元,美洲国家,1980
排名第129,塞舌尔,￥2.20206亿元,非洲国家,1980
排名第130,安提瓜和巴布达,￥1.96238亿元,美洲国家,1980
排名第131,不丹,￥1.90246亿元,亚洲国家,1980
排名第132,西萨摩亚,￥1.85752亿元,大洋州国家,1980
排名第133,瓦努阿图,￥1.81258亿元,大洋州国家,1980
排名第134,格林纳达,￥1.66278亿元,美洲国家,1980
排名第135,圣文森特和格林纳丁斯,￥1.22836亿元,美洲国家,1980
排名第136,汤加,￥1.10852亿元,大洋州国家,1980
排名第137,多米尼克,￥1.09354亿元,美洲国家,1980
排名第138,圣多美和普林西比Sao,￥1.03362亿元,,1980
排名第139,马尔代夫,￥.94374亿元,亚洲国家,1980
排名第140,圣基茨和尼维斯,￥.86884亿元,美洲国家,1980
排名第141,基里巴斯,￥.62916亿元,大洋州国家,1980
排名第142,赤道几内亚,￥.47936亿元,非洲国家,1980
排名第143,柬埔寨,￥0亿元,亚洲国家,1980
排名第144,瑙鲁,￥0亿元,大洋州国家,1980
排名第145,亚美尼亚,￥0亿元,亚洲国家,1980
排名第146,白俄罗斯,￥0亿元,欧洲国家,1980
排名第147,阿塞拜疆,￥0亿元,亚洲国家,1980
排名第148,波斯尼亚和黑塞哥维那,￥0亿元,,1980
排名第149,文莱,￥0亿元,亚洲国家,1980
排名第150,斯洛文尼亚,￥0亿元,欧洲国家,1980
排名第151,中国澳门,￥0亿元,亚洲,1980
排名第152,缅甸,￥0亿元,亚洲国家,1980
排名第153,纳米比亚,￥0亿元,非洲国家,1980
排名第154,尼日利亚,￥0亿元,非洲国家,1980
排名第155,贝劳,￥0亿元,,1980
排名第156,俄罗斯,￥0亿元,欧洲国家,1980
排名第157,密克罗尼西亚,￥0亿元,大洋州国家,1980
排名第158,斯洛伐克,￥0亿元,欧洲国家,1980
排名第159,毛里塔尼亚,￥0亿元,非洲国家,1980
排名第160,索马里,￥0亿元,非洲国家,1980
排名第161,塔吉克斯坦,￥0亿元,亚洲国家,1980
排名第162,土库曼斯坦,￥0亿元,亚洲国家,1980
排名第163,图瓦卢,￥0亿元,大洋州国家,1980
排名第164,乌克兰,￥0亿元,欧洲国家,1980
排名第165,乌兹别克斯坦,￥0亿元,亚洲国家,1980
排名第166,也门,￥0亿元,亚洲国家,1980
排名第167,圣马力诺,￥0亿元,欧洲国家,1980
排名第168,拉脱维亚,￥0亿元,欧洲国家,1980
排名第169,捷克,￥0亿元,欧洲国家,1980
排名第170,吉布提,￥0亿元,非洲国家,1980
排名第171,厄立特里亚,￥0亿元,非洲国家,1980
排名第172,爱沙尼亚,￥0亿元,欧洲国家,1980
排名第173,格鲁吉亚,￥0亿元,亚洲国家,1980
排名第174,伊拉克,￥0亿元,亚洲国家,1980
排名第175,摩尔多瓦,￥0亿元,欧洲国家,1980
排名第176,哈萨克斯坦,￥0亿元,亚洲国家,1980
排名第177,克罗地亚,￥0亿元,欧洲国家,1980
排名第178,阿富汗,￥0亿元,亚洲国家,1980
排名第179,马耳他,￥0亿元,欧洲国家,1980
排名第180,津巴布韦,￥0亿元,非洲国家,1980
排名第181,利比里亚,￥0亿元,非洲国家,1980
排名第182,立陶宛,￥0亿元,欧洲国家,1980
排名第183,马斯顿,￥0亿元,欧洲,1980
排名第184,马绍尔群岛,￥0亿元,大洋州国家,1980
排名第185,吉尔吉斯斯坦,￥0亿元,亚洲国家,1980
排名第1,美国,￥54746.6975亿元,美洲国家,1981
排名第2,日本,￥20546.7845亿元,亚洲国家,1981
排名第3,德国,￥12203.1283亿元,欧洲国家,1981
排名第4,法国,￥10590.9826亿元,欧洲国家,1981
排名第5,英国,￥9952.6306亿元,欧洲国家,1981
排名第6,意大利,￥7477.0047亿元,欧洲国家,1981
排名第7,加拿大,￥5221.10215亿元,美洲国家,1981
排名第8,中国,￥4956.8442亿元,亚洲国家,1981
排名第9,墨西哥,￥4819.7622亿元,美洲国家,1981
排名第10,西班牙,￥3479.5981亿元,欧洲国家,1981
排名第11,印度,￥3350.92175亿元,亚洲国家,1981
排名第12,澳大利亚,￥3215.4936亿元,大洋州国家,1981
排名第13,沙特阿拉伯,￥3142.16155亿元,亚洲国家,1981
排名第14,阿根廷,￥3137.4387亿元,美洲国家,1981
排名第15,巴西,￥2917.95405亿元,美洲国家,1981
排名第16,荷兰,￥2708.68235亿元,欧洲国家,1981
排名第17,瑞典,￥2150.87455亿元,欧洲国家,1981
排名第18,印度尼西亚,￥1889.9584亿元,亚洲国家,1981
排名第19,瑞士,￥1857.40995亿元,欧洲国家,1981
排名第20,比利时,￥1752.96165亿元,欧洲国家,1981
排名第21,伊朗,￥1717.29305亿元,亚洲国家,1981
排名第22,土耳其,￥1667.3877亿元,亚洲国家,1981
排名第23,南非,￥1457.14415亿元,非洲国家,1981
排名第24,委内瑞拉,￥1336.15735亿元,美洲国家,1981
排名第25,韩国,￥1234.8633亿元,亚洲国家,1981
排名第26,奥地利,￥1192.90325亿元,欧洲国家,1981
排名第27,挪威,￥1084.46525亿元,欧洲国家,1981
排名第28,丹麦,￥1055.27565亿元,欧洲国家,1981
排名第29,波兰,￥914.68135亿元,欧洲国家,1981
排名第30,芬兰,￥897.25625亿元,欧洲国家,1981
排名第31,希腊,￥890.98185亿元,欧洲国家,1981
排名第32,哥伦比亚,￥869.02145亿元,美洲国家,1981
排名第33,中国台湾,￥835.2113亿元,亚洲,1981
排名第34,阿闻酋,￥767.2841亿元,亚洲国家,1981
排名第35,阿尔及利亚,￥756.5426亿元,非洲国家,1981
排名第36,加纳,￥722.25505亿元,非洲国家,1981
排名第37,菲律宾,￥675.09475亿元,亚洲国家,1981
排名第38,巴基斯坦,￥624.01295亿元,亚洲国家,1981
排名第39,泰国,￥613.78295亿元,亚洲国家,1981
排名第40,智利,￥582.00175亿元,美洲国家,1981
排名第41,利比亚,￥573.57905亿元,非洲国家,1981
排名第42,葡萄牙,￥553.784亿元,欧洲国家,1981
排名第43,中国香港,￥529.48775亿元,亚洲,1981
排名第44,马来西亚,￥459.2929亿元,亚洲国家,1981
排名第45,保加利亚,￥459.27585亿元,欧洲国家,1981
排名第46,埃及,￥439.208亿元,非洲国家,1981
排名第47,以色列,￥430.5807亿元,亚洲国家,1981
排名第48,科威特,￥430.49545亿元,亚洲国家,1981
排名第49,秘鲁,￥415.9177亿元,美洲国家,1981
排名第50,匈牙利,￥401.68095亿元,欧洲国家,1981
排名第51,新西兰,￥399.63495亿元,大洋州国家,1981
排名第52,孟加拉国,￥376.07185亿元,亚洲国家,1981
排名第53,爱尔兰,￥347.82亿元,欧洲国家,1981
排名第54,摩洛哥,￥304.513亿元,非洲国家,1981
排名第55,厄瓜多尔,￥293.99315亿元,美洲国家,1981
排名第56,叙利亚,￥283.9166亿元,亚洲国家,1981
排名第57,波多黎各,￥272.0498亿元,美洲,1981
排名第58,新加坡,￥245.23015亿元,亚洲国家,1981
排名第59,越南,￥236.56875亿元,亚洲国家,1981
排名第60,乌拉圭,￥213.10795亿元,美洲国家,1981
排名第61,多米尼加共和国,￥165.3509亿元,,1981
排名第62,肯尼亚,￥162.19665亿元,非洲国家,1981
排名第63,乌干达,￥159.26405亿元,非洲国家,1981
排名第64,突尼斯,￥157.25215亿元,非洲国家,1981
排名第65,坦桑尼亚,￥151.14825亿元,非洲国家,1981
排名第66,喀麦隆,￥148.18155亿元,非洲国家,1981
排名第67,卡塔尔,￥147.67005亿元,亚洲国家,1981
排名第68,科特迪瓦,￥142.65735亿元,非洲国家,1981
排名第69,危地马拉,￥136.31475亿元,美洲国家,1981
排名第70,阿曼,￥131.60895亿元,亚洲国家,1981
排名第71,埃塞俄比亚,￥129.2049亿元,非洲国家,1981
排名第72,苏丹,￥121.20845亿元,非洲国家,1981
排名第73,特立尼达和多巴哥,￥119.2136亿元,美洲国家,1981
排名第74,卢森堡,￥94.98555亿元,欧洲国家,1981
排名第75,安哥拉,￥94.6957亿元,非洲国家,1981
排名第76,斯里兰卡,￥89.1374亿元,亚洲国家,1981
排名第77,巴拉圭,￥89.001亿元,美洲国家,1981
排名第78,巴拿马,￥77.93555亿元,美洲国家,1981
排名第79,约旦,￥74.8154亿元,亚洲国家,1981
排名第80,赞比亚,￥74.76425亿元,非洲国家,1981
排名第81,莫桑比克,￥71.52475亿元,非洲国家,1981
排名第82,加蓬,￥70.09255亿元,非洲国家,1981
排名第83,巴布亚新几内亚,￥69.58105亿元,大洋州国家,1981
排名第84,巴林,￥69.1548亿元,亚洲国家,1981
排名第85,黎巴嫩,￥66.3927亿元,亚洲国家,1981
排名第86,洪都拉斯,￥65.72775亿元,美洲国家,1981
排名第87,马达加斯加,￥61.29475亿元,非洲国家,1981
排名第88,冰岛,￥60.68095亿元,欧洲国家,1981
排名第89,玻利维亚,￥58.652亿元,美洲国家,1981
排名第90,萨尔瓦多,￥58.60085亿元,美洲国家,1981
排名第91,蒙古,￥56.8788亿元,亚洲国家,1981
排名第92,塞内加尔,￥54.16785亿元,非洲国家,1981
排名第93,牙买加,￥48.02985亿元,美洲国家,1981
排名第94,几内亚,￥40.59605亿元,非洲国家,1981
排名第95,尼泊尔,￥39.47075亿元,亚洲国家,1981
排名第96,塞浦路斯,￥38.2261亿元,亚洲国家,1981
排名第97,阿尔巴尼亚,￥38.00445亿元,欧洲国家,1981
排名第98,尼日尔,￥37.01555亿元,非洲国家,1981
排名第99,尼加拉瓜,￥36.7598亿元,美洲国家,1981
排名第100,马拉维,￥36.5893亿元,非洲国家,1981
排名第101,巴哈马,￥35.95845亿元,美洲国家,1981
排名第102,布基纳法索,￥31.4743亿元,非洲国家,1981
排名第103,塞拉利昂,￥31.08215亿元,非洲国家,1981
排名第104,刚果,￥29.1214亿元,非洲国家,1981
排名第105,海地,￥29.0191亿元,美洲国家,1981
排名第106,马里,￥28.303亿元,非洲国家,1981
排名第107,卢旺达,￥24.36445亿元,非洲国家,1981
排名第108,苏里南,￥22.72765亿元,美洲国家,1981
排名第109,斐济,￥21.5512亿元,大洋州国家,1981
排名第110,斯威士兰,￥19.5052亿元,非洲国家,1981
排名第111,贝宁,￥19.437亿元,非洲国家,1981
排名第112,巴巴多斯,￥19.096亿元,美洲国家,1981
排名第113,老挝,￥19.0619亿元,亚洲国家,1981
排名第114,毛里求斯,￥19.01075亿元,非洲国家,1981
排名第115,博茨瓦纳,￥17.6979亿元,非洲国家,1981
排名第116,布隆迪,￥16.86245亿元,非洲国家,1981
排名第117,乍得,￥14.88465亿元,非洲国家,1981
排名第118,多哥,￥14.81645亿元,非洲国家,1981
排名第119,中非,￥12.66815亿元,非洲国家,1981
排名第120,圭亚那,￥9.2752亿元,美洲国家,1981
排名第121,莱索托,￥8.30335亿元,非洲国家,1981
排名第122,冈比亚,￥5.95045亿元,,1981
排名第123,几内亚比绍,￥3.73395亿元,非洲国家,1981
排名第124,所罗门群岛,￥3.2054亿元,大洋州国家,1981
排名第125,伯利兹,￥3.05195亿元,美洲国家,1981
排名第126,圣卢西亚,￥2.8985亿元,美洲国家,1981
排名第127,佛得角,￥2.6257亿元,非洲国家,1981
排名第128,塞舌尔,￥2.6257亿元,非洲国家,1981
排名第129,安提瓜和巴布达,￥2.5234亿元,美洲国家,1981
排名第130,不丹,￥2.33585亿元,亚洲国家,1981
排名第131,科摩罗,￥2.26765亿元,非洲国家,1981
排名第132,西萨摩亚,￥1.9778亿元,大洋州国家,1981
排名第133,格林纳达,￥1.9778亿元,美洲国家,1981
排名第134,瓦努阿图,￥1.9437亿元,大洋州国家,1981
排名第135,圣文森特和格林纳丁斯,￥1.7391亿元,美洲国家,1981
排名第136,圣多美和普林西比Sao,￥1.4322亿元,,1981
排名第137,汤加,￥1.3981亿元,大洋州国家,1981
排名第138,多米尼克,￥1.3981亿元,美洲国家,1981
排名第139,马尔代夫,￥1.24465亿元,亚洲国家,1981
排名第140,圣基茨和尼维斯,￥1.17645亿元,美洲国家,1981
排名第141,基里巴斯,￥.7502亿元,大洋州国家,1981
排名第142,赤道几内亚,￥.5115亿元,非洲国家,1981
排名第143,柬埔寨,￥0亿元,亚洲国家,1981
排名第144,文莱,￥0亿元,亚洲国家,1981
排名第145,阿塞拜疆,￥0亿元,亚洲国家,1981
排名第146,亚美尼亚,￥0亿元,亚洲国家,1981
排名第147,瑙鲁,￥0亿元,大洋州国家,1981
排名第148,波斯尼亚和黑塞哥维那,￥0亿元,,1981
排名第149,白俄罗斯,￥0亿元,欧洲国家,1981
排名第150,斯洛文尼亚,￥0亿元,欧洲国家,1981
排名第151,中国澳门,￥0亿元,亚洲,1981
排名第152,缅甸,￥0亿元,亚洲国家,1981
排名第153,纳米比亚,￥0亿元,非洲国家,1981
排名第154,尼日利亚,￥0亿元,非洲国家,1981
排名第155,贝劳,￥0亿元,,1981
排名第156,俄罗斯,￥0亿元,欧洲国家,1981
排名第157,密克罗尼西亚,￥0亿元,大洋州国家,1981
排名第158,斯洛伐克,￥0亿元,欧洲国家,1981
排名第159,毛里塔尼亚,￥0亿元,非洲国家,1981
排名第160,索马里,￥0亿元,非洲国家,1981
排名第161,塔吉克斯坦,￥0亿元,亚洲国家,1981
排名第162,土库曼斯坦,￥0亿元,亚洲国家,1981
排名第163,图瓦卢,￥0亿元,大洋州国家,1981
排名第164,乌克兰,￥0亿元,欧洲国家,1981
排名第165,乌兹别克斯坦,￥0亿元,亚洲国家,1981
排名第166,也门,￥0亿元,亚洲国家,1981
排名第167,圣马力诺,￥0亿元,欧洲国家,1981
排名第168,拉脱维亚,￥0亿元,欧洲国家,1981
排名第169,捷克,￥0亿元,欧洲国家,1981
排名第170,吉布提,￥0亿元,非洲国家,1981
排名第171,厄立特里亚,￥0亿元,非洲国家,1981
排名第172,爱沙尼亚,￥0亿元,欧洲国家,1981
排名第173,格鲁吉亚,￥0亿元,亚洲国家,1981
排名第174,伊拉克,￥0亿元,亚洲国家,1981
排名第175,摩尔多瓦,￥0亿元,欧洲国家,1981
排名第176,哈萨克斯坦,￥0亿元,亚洲国家,1981
排名第177,克罗地亚,￥0亿元,欧洲国家,1981
排名第178,阿富汗,￥0亿元,亚洲国家,1981
排名第179,马耳他,￥0亿元,欧洲国家,1981
排名第180,津巴布韦,￥0亿元,非洲国家,1981
排名第181,利比里亚,￥0亿元,非洲国家,1981
排名第182,立陶宛,￥0亿元,欧洲国家,1981
排名第183,马斯顿,￥0亿元,欧洲,1981
排名第184,马绍尔群岛,￥0亿元,大洋州国家,1981
排名第185,吉尔吉斯斯坦,￥0亿元,亚洲国家,1981
排名第1,美国,￥63320.85亿元,美洲国家,1982
排名第2,日本,￥21242.8674亿元,亚洲国家,1982
排名第3,德国,￥13080.83823亿元,欧洲国家,1982
排名第4,法国,￥11171.10411亿元,欧洲国家,1982
排名第5,英国,￥10494.52698亿元,欧洲国家,1982
排名第6,意大利,￥8204.79204亿元,欧洲国家,1982
排名第7,加拿大,￥5935.00932亿元,美洲国家,1982
排名第8,中国,￥5427.77997亿元,亚洲国家,1982
排名第9,墨西哥,￥3883.45164亿元,美洲国家,1982
排名第10,印度,￥3852.95541亿元,亚洲国家,1982
排名第11,西班牙,￥3732.12522亿元,欧洲国家,1982
排名第12,澳大利亚,￥3544.2639亿元,大洋州国家,1982
排名第13,巴西,￥3463.6221亿元,美洲国家,1982
排名第14,荷兰,￥2913.17556亿元,欧洲国家,1982
排名第15,沙特阿拉伯,￥2900.8332亿元,亚洲国家,1982
排名第16,伊朗,￥2386.58082亿元,亚洲国家,1982
排名第17,印度尼西亚,￥2154.21507亿元,亚洲国家,1982
排名第18,瑞士,￥2112.588亿元,欧洲国家,1982
排名第19,瑞典,￥2108.66949亿元,欧洲国家,1982
排名第20,阿根廷,￥1729.74768亿元,美洲国家,1982
排名第21,比利时,￥1712.44566亿元,欧洲国家,1982
排名第22,土耳其,￥1682.00622亿元,亚洲国家,1982
排名第23,委内瑞拉,￥1514.36214亿元,美洲国家,1982
排名第24,南非,￥1484.39595亿元,非洲国家,1982
排名第25,韩国,￥1472.14824亿元,亚洲国家,1982
排名第26,奥地利,￥1324.22922亿元,欧洲国家,1982
排名第27,波兰,￥1233.98991亿元,欧洲国家,1982
排名第28,挪威,￥1186.02129亿元,欧洲国家,1982
排名第29,丹麦,￥1143.80739亿元,欧洲国家,1982
排名第30,希腊,￥1037.34507亿元,欧洲国家,1982
排名第31,哥伦比亚,￥1033.25619亿元,美洲国家,1982
排名第32,芬兰,￥1005.61839亿元,欧洲国家,1982
排名第33,加纳,￥954.52632亿元,非洲国家,1982
排名第34,中国台湾,￥937.88685亿元,亚洲,1982
排名第35,阿尔及利亚,￥847.6854亿元,非洲国家,1982
排名第36,阿闻酋,￥792.18264亿元,亚洲国家,1982
排名第37,菲律宾,￥780.93822亿元,亚洲国家,1982
排名第38,巴基斯坦,￥757.42716亿元,亚洲国家,1982
排名第39,泰国,￥715.53507亿元,亚洲国家,1982
排名第40,利比亚,￥634.93113亿元,非洲国家,1982
排名第41,中国香港,￥611.26863亿元,亚洲,1982
排名第42,葡萄牙,￥580.79133亿元,欧洲国家,1982
排名第43,埃及,￥576.96747亿元,非洲国家,1982
排名第44,马来西亚,￥546.47124亿元,亚洲国家,1982
排名第45,保加利亚,￥531.81942亿元,欧洲国家,1982
排名第46,以色列,￥512.34045亿元,亚洲国家,1982
排名第47,智利,￥481.80636亿元,美洲国家,1982
排名第48,秘鲁,￥459.12822亿元,美洲国家,1982
排名第49,匈牙利,￥454.18749亿元,欧洲国家,1982
排名第50,新西兰,￥439.27065亿元,大洋州国家,1982
排名第51,科威特,￥408.56619亿元,亚洲国家,1982
排名第52,爱尔兰,￥402.98184亿元,欧洲国家,1982
排名第53,孟加拉国,￥382.32921亿元,亚洲国家,1982
排名第54,越南,￥348.40665亿元,亚洲国家,1982
排名第55,摩洛哥,￥341.27004亿元,非洲国家,1982
排名第56,叙利亚,￥329.66595亿元,亚洲国家,1982
排名第57,厄瓜多尔,￥325.86102亿元,美洲国家,1982
排名第58,波多黎各,￥317.34252亿元,美洲,1982
排名第59,新加坡,￥300.74091亿元,亚洲国家,1982
排名第60,乌拉圭,￥193.42674亿元,美洲国家,1982
排名第61,坦桑尼亚,￥192.66954亿元,非洲国家,1982
排名第62,肯尼亚,￥173.37987亿元,非洲国家,1982
排名第63,多米尼加共和国,￥173.03913亿元,,1982
排名第64,突尼斯,￥168.477亿元,非洲国家,1982
排名第65,喀麦隆,￥157.78155亿元,非洲国家,1982
排名第66,特立尼达和多巴哥,￥154.0902亿元,美洲国家,1982
排名第67,阿曼,￥153.35193亿元,亚洲国家,1982
排名第68,危地马拉,￥153.29514亿元,美洲国家,1982
排名第69,埃塞俄比亚,￥150.92889亿元,非洲国家,1982
排名第70,卡塔尔,￥143.81121亿元,亚洲国家,1982
排名第71,科特迪瓦,￥142.08858亿元,非洲国家,1982
排名第72,乌干达,￥122.68533亿元,非洲国家,1982
排名第73,斯里兰卡,￥106.84092亿元,亚洲国家,1982
排名第74,安哥拉,￥105.13722亿元,非洲国家,1982
排名第75,巴拉圭,￥103.5471亿元,美洲国家,1982
排名第76,苏丹,￥97.84917亿元,非洲国家,1982
排名第77,巴拿马,￥95.5965亿元,美洲国家,1982
排名第78,约旦,￥88.66812亿元,亚洲国家,1982
排名第79,卢森堡,￥86.60475亿元,欧洲国家,1982
排名第80,莫桑比克,￥81.11505亿元,非洲国家,1982
排名第81,巴林,￥80.71752亿元,亚洲国家,1982
排名第82,赞比亚,￥80.11176亿元,非洲国家,1982
排名第83,洪都拉斯,￥75.1521亿元,美洲国家,1982
排名第84,巴布亚新几内亚,￥73.27803亿元,大洋州国家,1982
排名第85,加蓬,￥72.93729亿元,非洲国家,1982
排名第86,玻利维亚,￥72.18009亿元,美洲国家,1982
排名第87,马达加斯加,￥66.74718亿元,非洲国家,1982
排名第88,蒙古,￥65.55459亿元,亚洲国家,1982
排名第89,萨尔瓦多,￥64.24842亿元,美洲国家,1982
排名第90,冰岛,￥61.92003亿元,欧洲国家,1982
